project_name,url,,
Merlion Galaxia,/in/buy/projects/page/265095-merlion-galaxia-by-merlion-builders-in-nizampet,"'https://housing.com/in/buy/projects/page/265095-merlion-galaxia-by-merlion-builders-in-nizampet',",https://housing.com
Fortune Grand Extension 2 189 2021 H,/in/buy/projects/page/286459-fortune-grand-extension-2-189-2021-h-by-fortune-infra-developers-in-kadthal,"'https://housing.com/in/buy/projects/page/286459-fortune-grand-extension-2-189-2021-h-by-fortune-infra-developers-in-kadthal',",https://housing.com
Anuhar Gautami Heights,/in/buy/projects/page/301811-anuhar-gautami-heights-by-anuhar-homes-pvt-ltd-in-miyapur,"'https://housing.com/in/buy/projects/page/301811-anuhar-gautami-heights-by-anuhar-homes-pvt-ltd-in-miyapur',",https://housing.com
Varahi Whealth Atoms,/in/buy/projects/page/306973-varahi-whealth-atoms-by-western-magic-developers-in-sadasivpet,"'https://housing.com/in/buy/projects/page/306973-varahi-whealth-atoms-by-western-magic-developers-in-sadasivpet',",https://housing.com
Spring Field Vantage,/in/buy/projects/page/286543-spring-field-vantage-by-harshitha-infra-and-developers-in-rudraram,"'https://housing.com/in/buy/projects/page/286543-spring-field-vantage-by-harshitha-infra-and-developers-in-rudraram',",https://housing.com
SSL Peacock Estate,/in/buy/projects/page/289558-ssl-peacock-estate-by-ssl-infra-developers-in-sadasivpet,"'https://housing.com/in/buy/projects/page/289558-ssl-peacock-estate-by-ssl-infra-developers-in-sadasivpet',",https://housing.com
True The Orchard,/in/buy/projects/page/290810-true-the-orchard-by-true-citi-projects-llp-in-kondurg,"'https://housing.com/in/buy/projects/page/290810-true-the-orchard-by-true-citi-projects-llp-in-kondurg',",https://housing.com
Future Shadnagar Downtown,/in/buy/projects/page/289990-future-shadnagar-downtown-by-future-acres-in-shadnagar,"'https://housing.com/in/buy/projects/page/289990-future-shadnagar-downtown-by-future-acres-in-shadnagar',",https://housing.com
Indraprastha Residency,/in/buy/projects/page/264818-indraprastha-residency-by-sri-nidhi-constructions-in-bachupally,"'https://housing.com/in/buy/projects/page/264818-indraprastha-residency-by-sri-nidhi-constructions-in-bachupally',",https://housing.com
Neemsboro Oxyridge Farms,/in/buy/projects/page/281156-neemsboro-oxyridge-farms-by-neemsboro-farms-private-limited-in-narayankhed,"'https://housing.com/in/buy/projects/page/281156-neemsboro-oxyridge-farms-by-neemsboro-farms-private-limited-in-narayankhed',",https://housing.com
Future Rajapur Pride,/in/buy/projects/page/318752-future-rajapur-pride-by-future-acres-in-shadnagar,"'https://housing.com/in/buy/projects/page/318752-future-rajapur-pride-by-future-acres-in-shadnagar',",https://housing.com
Myscape Loft,/in/buy/projects/page/251007-myscape-loft-by-myscape-properties-private-limited-in-nanakaramguda,"'https://housing.com/in/buy/projects/page/251007-myscape-loft-by-myscape-properties-private-limited-in-nanakaramguda',",https://housing.com
SSV Krishna Heights,/in/buy/projects/page/252484-ssv-krishna-heights-by-ssv-constructions-and-developers-in-peerzadiguda,"'https://housing.com/in/buy/projects/page/252484-ssv-krishna-heights-by-ssv-constructions-and-developers-in-peerzadiguda',",https://housing.com
JV NC Vihanga,/in/buy/projects/page/318082-jv-nc-vihanga-by-jv-estate-infra-developers-in-patancheru,"'https://housing.com/in/buy/projects/page/318082-jv-nc-vihanga-by-jv-estate-infra-developers-in-patancheru',",https://housing.com
Swarna Boomi The Plam Valley,/in/buy/projects/page/288848-swarna-boomi-the-plam-valley-by-sampangi-bio-farms-pvt-ltd-in-narayankhed,"'https://housing.com/in/buy/projects/page/288848-swarna-boomi-the-plam-valley-by-sampangi-bio-farms-pvt-ltd-in-narayankhed',",https://housing.com
My Space 2,/in/buy/projects/page/265885-my-space-2-by-makuta-projects-in-bachupally,"'https://housing.com/in/buy/projects/page/265885-my-space-2-by-makuta-projects-in-bachupally',",https://housing.com
Yugandhar RRR Riverside,/in/buy/projects/page/302260-yugandhar-rrr-riverside-by-yugandhar-real-stone-in-sangareddy,"'https://housing.com/in/buy/projects/page/302260-yugandhar-rrr-riverside-by-yugandhar-real-stone-in-sangareddy',",https://housing.com
Western County,/in/buy/projects/page/251352-western-county-by-green-city-dukes-estates-llp-in-singapur,"'https://housing.com/in/buy/projects/page/251352-western-county-by-green-city-dukes-estates-llp-in-singapur',",https://housing.com
Venice City,/in/buy/projects/page/254017-venice-city-by-mirchi-developers-in-patancheru,"'https://housing.com/in/buy/projects/page/254017-venice-city-by-mirchi-developers-in-patancheru',",https://housing.com
Fortune Smart City 1,/in/buy/projects/page/315825-fortune-smart-city-1-by-fortune-infra-developers-in-amangal,"'https://housing.com/in/buy/projects/page/315825-fortune-smart-city-1-by-fortune-infra-developers-in-amangal',",https://housing.com
HPR Avani,/in/buy/projects/page/288624-hpr-avani-by-hpr-infra-in-kandi,"'https://housing.com/in/buy/projects/page/288624-hpr-avani-by-hpr-infra-in-kandi',",https://housing.com
Makuta My Space,/in/buy/projects/page/237077-makuta-my-space-by-makuta-developers-in-bachupally,"'https://housing.com/in/buy/projects/page/237077-makuta-my-space-by-makuta-developers-in-bachupally',",https://housing.com
Urbanline Harmonia,/in/buy/projects/page/319592-urbanline-harmonia-by-urbanline-infra-developers-in-medchal,"'https://housing.com/in/buy/projects/page/319592-urbanline-harmonia-by-urbanline-infra-developers-in-medchal',",https://housing.com
Sarvagna M N D Avenue,/in/buy/projects/page/315395-sarvagna-m-n-d-avenue-by-sarvagna-projects-in-medchal,"'https://housing.com/in/buy/projects/page/315395-sarvagna-m-n-d-avenue-by-sarvagna-projects-in-medchal',",https://housing.com
Kompally County 111,/in/buy/projects/page/300790-kompally-county-111-by-greater-infra-projects-in-kompally,"'https://housing.com/in/buy/projects/page/300790-kompally-county-111-by-greater-infra-projects-in-kompally',",https://housing.com
